M,S,T,curve_pv
11,2,22,0.0
11,2,23,0.0
11,2,24,0.0
11,3,1,0.0
11,3,2,0.0
11,3,3,0.0
11,3,4,0.0
11,3,5,0.0
11,3,6,0.0
11,3,7,0.0
11,3,8,0.002428571428571429
11,3,9,0.09471428571428571
11,3,10,0.18671428571428572
11,3,11,0.3334285714285714
11,3,12,0.34828571428571425
11,3,13,0.3152857142857143
11,3,14,0.26471428571428574
11,3,15,0.12585714285714286
11,3,16,0.021142857142857144
11,3,17,0.0
11,3,18,0.0
11,3,19,0.0
11,3,20,0.0
11,3,21,0.0
11,3,22,0.0
11,3,23,0.0
11,3,24,0.0
12,1,1,0.0
12,1,2,0.0
12,1,3,0.0
12,1,4,0.0
12,1,5,0.0
12,1,6,0.0
12,1,7,0.0
12,1,8,0.0
12,1,9,0.007625000000000002
12,1,10,0.0468125
12,1,11,0.06893749999999998
12,1,12,0.0683125
12,1,13,0.06812499999999999
12,1,14,0.05325000000000002
12,1,15,0.02762499999999999
12,1,16,0.0003749999999999999
12,1,17,0.0
12,1,18,0.0
12,1,19,0.0
12,1,20,0.0
12,1,21,0.0
12,1,22,0.0
12,1,23,0.0
12,1,24,0.0
12,2,1,0.0
12,2,2,0.0
12,2,3,0.0
12,2,4,0.0
12,2,5,0.0
12,2,6,0.0
12,2,7,0.0
12,2,8,0.0
12,2,9,0.04322222222222222
12,2,10,0.20955555555555555
12,2,11,0.3718888888888888
12,2,12,0.3927777777777778
12,2,13,0.3663333333333333
12,2,14,0.26855555555555555
12,2,15,0.15466666666666667
12,2,16,0.006333333333333333
12,2,17,0.0
12,2,18,0.0
12,2,19,0.0
12,2,20,0.0
12,2,21,0.0
12,2,22,0.0
12,2,23,0.0
12,2,24,0.0
12,3,1,0.0
12,3,2,0.0
12,3,3,0.0
12,3,4,0.0
12,3,5,0.0
12,3,6,0.0
12,3,7,0.0
12,3,8,0.0
12,3,9,0.002666666666666668
12,3,10,0.06183333333333334
12,3,11,0.10183333333333333
12,3,12,0.22033333333333333
12,3,13,0.23783333333333334
12,3,14,0.1925
12,3,15,0.1005
12,3,16,0.0011666666666666668
12,3,17,0.0
12,3,18,0.0
12,3,19,0.0
12,3,20,0.0
12,3,21,0.0
12,3,22,0.0
12,3,23,0.0
12,3,24,0.0
