M,D,T,curve_load
7,2,4,0.2615771379458531
7,2,5,0.25873227331327897
7,2,6,0.262595616673829
7,2,7,0.29993553932101424
7,2,8,0.3918994413407822
7,2,9,0.47649333906317154
7,2,10,0.5162226042114311
7,2,11,0.5345938977223894
7,2,12,0.5544391920928234
7,2,13,0.5320756338633434
7,2,14,0.5098710786420284
7,2,15,0.4887881392350667
7,2,16,0.49731843575419
7,2,17,0.5946884400515686
7,2,18,0.617082079931242
7,2,19,0.5749376880103138
7,2,20,0.5495788568972927
7,2,21,0.5269230769230769
7,2,22,0.5214697034808767
7,2,23,0.46816501933820376
7,2,24,0.38510958315427596
7,3,1,0.31877148689299534
7,3,2,0.27930543618392784
7,3,3,0.25968521701761926
7,3,4,0.25436989686291367
7,3,5,0.25760904598195106
7,3,6,0.27912279759346803
7,3,7,0.3401697464546627
7,3,8,0.39981467554791583
7,3,9,0.434945745595187
7,3,10,0.4409244735711217
7,3,11,0.4473839707778256
7,3,12,0.46040771379458534
7,3,13,0.4408519553072626
7,3,14,0.4294101847872798
7,3,15,0.4301541684572412
7,3,16,0.4564890416845725
7,3,17,0.5994574559518695
7,3,18,0.6119655135367427
7,3,19,0.5695477009024495
7,3,20,0.5324935539321015
7,3,21,0.5195745595186937
7,3,22,0.5211323592608509
7,3,23,0.47501074344649774
7,3,24,0.3846073270305115
8,1,1,0.32624409110442637
8,1,2,0.28971207563386336
8,1,3,0.27369574559518695
8,1,4,0.26718521701761927
8,1,5,0.26868929952728837
8,1,6,0.28776966050709074
8,1,7,0.33995272883541044
8,1,8,0.40621830683283205
8,1,9,0.4490416845724109
8,1,10,0.4606832831972497
8,1,11,0.46981091534164166
8,1,12,0.47823807477438773
8,1,13,0.4610829394069618
8,1,14,0.4472496776966051
8,1,15,0.4462741727546198
8,1,16,0.47073055436183936
8,1,17,0.591405242801891
8,1,18,0.6106059303824668
8,1,19,0.5696519123334767
8,1,20,0.5514654061022777
8,1,21,0.5613364847443061
8,1,22,0.5338203695745596
8,1,23,0.48129780833691455
8,1,24,0.39372582724538036
8,2,1,0.34123334765792873
8,2,2,0.2978244520842287
8,2,3,0.2769015900300817
8,2,4,0.2684518693596906
8,2,5,0.2671841426729695
8,2,6,0.2705629565964762
8,2,7,0.3043725827245381
8,2,8,0.3904651912333477
8,2,9,0.466373012462398
8,2,10,0.5061345079501505
8,2,11,0.5294370434035239
8,2,12,0.5438225182638592
8,2,13,0.5308122045552214
8,2,14,0.5051622260421144
8,2,15,0.48987430167597773
8,2,16,0.4976149548775248
8,2,17,0.5906532015470564
8,2,18,0.6139342501074345
8,2,19,0.5774495058014611
8,2,20,0.5594757198109155
8,2,21,0.5627417275461969
8,2,22,0.5339492909325312
8,2,23,0.4725290073055437
8,2,24,0.3911688869789429
8,3,1,0.3196423258735249
8,3,2,0.28488645003470964
8,3,3,0.26675481802254475
8,3,4,0.26173349641334176
8,3,5,0.2646590195365443
8,3,6,0.2865359822815775
8,3,7,0.3399623152953622
8,3,8,0.40000330567584547
8,3,9,0.42921556312188036
8,3,10,0.43153284188952434
8,3,11,0.4359360021156326
8,3,12,0.45353211464083837
8,3,13,0.43294767115136695
8,3,14,0.42324881822088534
8,3,15,0.4203728802353642
8,3,16,0.44741992000264463
8,3,17,0.5841790354037885
8,3,18,0.5995537337608675
8,3,19,0.5652904036230209
8,3,20,0.5465670556345246
8,3,21,0.561022776106575
8,3,22,0.5321443919209283
8,3,23,0.4713298733926152
8,3,24,0.382526197481075
9,1,1,0.32551210428305405
9,1,2,0.28133982714988304
9,1,3,0.2583918254309316
9,1,4,0.25000238743255504
9,1,5,0.2498257174234828
9,1,6,0.25760874755288166
9,1,7,0.30553406866256033
9,1,8,0.40328988206083183
9,1,9,0.4891897053908228
